timestamp,page,ram_used_gb,ram_percent,gpu_used_mb,gpu_total_mb,gpu_free_mb
2026-01-26T14:22:57.691615,407,4.38,17.9,149,1244,187
2026-01-26T14:22:58.829012,408,4.36,17.8,149,1244,187
2026-01-26T14:22:59.920838,409,4.31,17.6,149,1244,187
2026-01-26T14:23:01.047576,410,4.27,17.5,149,1244,187
2026-01-26T14:23:02.133070,411,4.23,17.3,149,1244,187
2026-01-26T14:23:03.091979,412,4.18,17.1,149,1244,187
2026-01-26T14:23:08.298811,413,4.17,17.0,149,1244,187
2026-01-26T14:23:09.361992,414,4.17,17.1,149,1244,187
2026-01-26T14:23:14.179572,415,4.41,18.0,149,1244,187
2026-01-26T14:23:15.285084,416,4.35,17.8,149,1244,187
2026-01-26T14:23:16.335191,417,4.31,17.6,149,1244,187
2026-01-26T14:23:18.302361,418,4.17,17.1,149,1244,187
2026-01-26T14:23:20.346741,419,4.12,16.9,149,1244,187
2026-01-26T14:23:22.788661,420,4.27,17.5,149,1244,187
2026-01-26T14:23:24.833165,421,4.13,16.9,149,1244,187
2026-01-26T14:23:26.791483,422,4.24,17.3,149,1244,187
2026-01-26T14:23:28.038044,423,4.19,17.1,149,1244,187
2026-01-26T14:23:36.027520,424,4.29,17.5,149,1244,187
2026-01-26T14:23:41.446714,425,4.64,19.0,149,1244,187
2026-01-26T14:23:42.510951,426,4.60,18.8,149,1244,187
2026-01-26T14:23:43.544132,427,4.56,18.6,149,1244,187
2026-01-26T14:23:44.543711,428,4.51,18.5,149,1244,187
2026-01-26T14:23:45.704789,429,4.46,18.2,149,1244,187
2026-01-26T14:23:46.840463,430,4.43,18.1,149,1244,187
2026-01-26T14:23:48.154769,431,4.38,17.9,149,1244,187
2026-01-26T14:23:49.420778,432,4.45,18.2,149,1244,187
2026-01-26T14:23:50.580109,433,4.40,18.0,149,1244,187
2026-01-26T14:23:51.538765,434,4.36,17.8,149,1244,187
2026-01-26T14:23:53.109873,435,4.32,17.7,149,1244,187
2026-01-26T14:23:54.756234,436,4.29,17.5,149,1244,187
